#Teff log_g M_div_h F606W F814W 
3000 2.1052632 -1.2142857 -1.892 0.399
3000 2.1052632 -0.78571429 -2.639 0.252
3000 2.1052632 -0.35714286 -3.38 0.001
3000 2.1052632 0.071428571 -3.814 -0.313
3000 2.1052632 0.5 -4.063 -0.661
3263.1579 2.1052632 -2.5 -1.012 0.503
3263.1579 2.1052632 -2.0714286 -1.036 0.49
7210.5263 0 -2.5 -0.032 0.169
3263.1579 2.1052632 -1.6428571 -1.128 0.473
3263.1579 2.1052632 -1.2142857 -1.409 0.421
3263.1579 2.1052632 -0.78571429 -1.892 0.327
3263.1579 2.1052632 -0.35714286 -2.494 0.17
3263.1579 2.1052632 0.071428571 -3.054 -0.062
3263.1579 2.1052632 0.5 -3.509 -0.367
3526.3158 2.1052632 -2.5 -0.838 0.519
3526.3158 2.1052632 -2.0714286 -0.871 0.485
3526.3158 2.1052632 -1.6428571 -0.927 0.452
7210.5263 0 -2.0714286 0.023 0.282
3526.3158 2.1052632 -1.2142857 -1.034 0.425
3263.1579 0 -0.78571429 -2.649 0.038
3526.3158 2.1052632 -0.78571429 -1.221 0.395
3526.3158 2.1052632 -0.35714286 -1.504 0.352
3526.3158 2.1052632 0.071428571 -1.848 0.295
3526.3158 2.1052632 0.5 -2.219 0.21
3789.4737 2.1052632 -2.5 -0.669 0.534
3789.4737 2.1052632 -2.0714286 -0.69 0.497
3789.4737 2.1052632 -1.6428571 -0.707 0.477
3789.4737 2.1052632 -1.2142857 -0.728 0.469
3789.4737 2.1052632 -0.78571429 -0.765 0.469
7210.5263 0 -1.6428571 0.038 0.304
3789.4737 2.1052632 -0.35714286 -0.836 0.472
3789.4737 2.1052632 0.071428571 -0.941 0.486
3789.4737 2.1052632 0.5 -1.1 0.499
4052.6316 2.1052632 -2.5 -0.475 0.585
4052.6316 2.1052632 -2.0714286 -0.484 0.561
4052.6316 2.1052632 -1.6428571 -0.489 0.55
4052.6316 2.1052632 -1.2142857 -0.489 0.549
4052.6316 2.1052632 -0.78571429 -0.488 0.555
4052.6316 2.1052632 -0.35714286 -0.493 0.563
4052.6316 2.1052632 0.071428571 -0.506 0.581
7210.5263 0 -1.2142857 0.039 0.295
4052.6316 2.1052632 0.5 -0.548 0.603
4315.7895 2.1052632 -2.5 -0.31 0.639
4315.7895 2.1052632 -2.0714286 -0.311 0.624
4315.7895 2.1052632 -1.6428571 -0.31 0.615
4315.7895 2.1052632 -1.2142857 -0.305 0.615
4315.7895 2.1052632 -0.78571429 -0.296 0.621
4315.7895 2.1052632 -0.35714286 -0.288 0.629
4315.7895 2.1052632 0.071428571 -0.278 0.646
4315.7895 2.1052632 0.5 -0.278 0.665
4578.9474 2.1052632 -2.5 -0.192 0.66
7210.5263 0 -0.78571429 0.045 0.302
4578.9474 2.1052632 -2.0714286 -0.188 0.655
4578.9474 2.1052632 -1.6428571 -0.183 0.652
4578.9474 2.1052632 -1.2142857 -0.173 0.655
4578.9474 2.1052632 -0.78571429 -0.16 0.662
4578.9474 2.1052632 -0.35714286 -0.147 0.67
4578.9474 2.1052632 0.071428571 -0.128 0.689
4578.9474 2.1052632 0.5 -0.115 0.708
4842.1053 2.1052632 -2.5 -0.115 0.652
4842.1053 2.1052632 -2.0714286 -0.106 0.656
4842.1053 2.1052632 -1.6428571 -0.096 0.662
7210.5263 0 -0.35714286 0.048 0.302
4842.1053 2.1052632 -1.2142857 -0.082 0.67
4842.1053 2.1052632 -0.78571429 -0.066 0.68
4842.1053 2.1052632 -0.35714286 -0.048 0.692
4842.1053 2.1052632 0.071428571 -0.024 0.713
4842.1053 2.1052632 0.5 -0.004 0.734
5105.2632 2.1052632 -2.5 -0.061 0.63
5105.2632 2.1052632 -2.0714286 -0.051 0.638
5105.2632 2.1052632 -1.6428571 -0.038 0.648
5105.2632 2.1052632 -1.2142857 -0.02 0.662
5105.2632 2.1052632 -0.78571429 0 0.678
7210.5263 0 0.071428571 0.034 0.29
5105.2632 2.1052632 -0.35714286 0.021 0.693
5105.2632 2.1052632 0.071428571 0.048 0.718
5105.2632 2.1052632 0.5 0.074 0.744
5368.4211 2.1052632 -2.5 -0.02 0.603
5368.4211 2.1052632 -2.0714286 -0.011 0.611
5368.4211 2.1052632 -1.6428571 0.003 0.623
5368.4211 2.1052632 -1.2142857 0.023 0.64
5368.4211 2.1052632 -0.78571429 0.046 0.659
5368.4211 2.1052632 -0.35714286 0.07 0.679
5368.4211 2.1052632 0.071428571 0.1 0.707
7210.5263 0 0.5 0.098 0.358
5368.4211 2.1052632 0.5 0.128 0.737
5631.5789 2.1052632 -2.5 0.012 0.573
5631.5789 2.1052632 -2.0714286 0.021 0.581
5631.5789 2.1052632 -1.6428571 0.034 0.592
5631.5789 2.1052632 -1.2142857 0.053 0.608
5631.5789 2.1052632 -0.78571429 0.078 0.63
5631.5789 2.1052632 -0.35714286 0.105 0.653
5631.5789 2.1052632 0.071428571 0.138 0.684
5631.5789 2.1052632 0.5 0.169 0.717
5894.7368 2.1052632 -2.5 0.039 0.54
5894.7368 2.1052632 -2.0714286 0.047 0.548
7473.6842 0 -2.5 0.264 0.371
5894.7368 2.1052632 -1.6428571 0.06 0.558
5894.7368 2.1052632 -1.2142857 0.078 0.574
5894.7368 2.1052632 -0.78571429 0.102 0.594
5894.7368 2.1052632 -0.35714286 0.129 0.618
5894.7368 2.1052632 0.071428571 0.164 0.65
5894.7368 2.1052632 0.5 0.198 0.685
6157.8947 2.1052632 -2.5 0.061 0.505
6157.8947 2.1052632 -2.0714286 0.069 0.511
6157.8947 2.1052632 -1.6428571 0.08 0.521
7473.6842 0 -2.0714286 -0.018 0.218
6157.8947 2.1052632 -1.2142857 0.097 0.536
6157.8947 2.1052632 -0.78571429 0.12 0.555
6157.8947 2.1052632 -0.35714286 0.147 0.579
6157.8947 2.1052632 0.071428571 0.182 0.61
6157.8947 2.1052632 0.5 0.218 0.646
6421.0526 2.1052632 -2.5 0.08 0.466
6421.0526 2.1052632 -2.0714286 0.086 0.473
6421.0526 2.1052632 -1.6428571 0.096 0.482
6421.0526 2.1052632 -1.2142857 0.112 0.495
6421.0526 2.1052632 -0.78571429 0.134 0.513
7473.6842 0 -1.6428571 -0.036 0.214
6421.0526 2.1052632 -0.35714286 0.16 0.536
