# Isochrone by Pietrinferni - Cassisi - Salaris - Castelli 2006 ::: Standard Model 
#===========================================================================================================================
# Scaled solar model & transformations for ACS            (Castelli 2004)
#===========================================================================================================================
#  Np= 2000   [M/H]=-1.790   Z= 0.0003   Y=0.245   t(Gyr)= 13.3200    normalized:  3  2 2006 
#===========================================================================================================================
#     (M/Mo)in       (M/Mo)     log(L/Lo)  logTe     F435W   F475W   F555W   F606W   F625W   F775W   F814W
#===========================================================================================================================
   0.6053342530   0.6053342530  -0.61496  3.73148    7.165   6.898   6.514   6.305   6.103   5.698   5.647
   0.6060708562   0.6060708562  -0.61165  3.73194    7.154   6.888   6.504   6.297   6.095   5.690   5.639
   0.6068074593   0.6068074593  -0.60833  3.73239    7.143   6.878   6.495   6.288   6.087   5.683   5.632
   0.6075440625   0.6075440625  -0.60502  3.73285    7.131   6.868   6.486   6.279   6.079   5.675   5.625
   0.6082806657   0.6082806657  -0.60170  3.73331    7.120   6.858   6.477   6.271   6.071   5.668   5.617
   0.6090172688   0.6090172688  -0.59839  3.73376    7.109   6.848   6.468   6.262   6.062   5.660   5.610
   0.6097538720   0.6097538720  -0.59507  3.73422    7.098   6.837   6.459   6.254   6.054   5.653   5.603
   0.6104904752   0.6104904752  -0.59175  3.73467    7.086   6.827   6.450   6.245   6.046   5.646   5.595
   0.6112270783   0.6112270783  -0.58843  3.73513    7.075   6.817   6.441   6.236   6.038   5.638   5.588
   0.6119636815   0.6119636815  -0.58510  3.73558    7.064   6.807   6.432   6.228   6.030   5.631   5.581
   0.6127002847   0.6127002847  -0.58178  3.73604    7.053   6.797   6.423   6.219   6.021   5.623   5.573
   0.6134368878   0.6134368878  -0.57845  3.73649    7.042   6.787   6.414   6.211   6.013   5.616   5.566
   0.6141734910   0.6141734910  -0.57512  3.73694    7.030   6.777   6.405   6.202   6.005   5.608   5.559
   0.6149100942   0.6149100942  -0.57179  3.73740    7.019   6.766   6.396   6.194   5.997   5.601   5.551
   0.6156466974   0.6156466974  -0.56846  3.73785    7.008   6.756   6.387   6.185   5.989   5.594   5.544
   0.6163833005   0.6163833005  -0.56512  3.73830    6.997   6.746   6.378   6.176   5.980   5.586   5.537
   0.6171199037   0.6171199037  -0.56178  3.73875    6.986   6.736   6.369   6.168   5.972   5.579   5.530
   0.6178565069   0.6178565069  -0.55845  3.73920    6.975   6.726   6.360   6.159   5.964   5.571   5.522
   0.6185931100   0.6185931100  -0.55510  3.73965    6.964   6.716   6.351   6.151   5.956   5.564   5.515
   0.6193297132   0.6193297132  -0.55176  3.74011    6.953   6.706   6.342   6.142   5.948   5.556   5.508
