#Teff log_g M_div_h F606W F814W 
4842.1053 2.1052632 -2.0714286 -0.106 0.653
4842.1053 2.1052632 -1.6428571 -0.097 0.656
7210.5263 0 -0.35714286 0.069 0.318
4842.1053 2.1052632 -1.2142857 -0.085 0.663
4842.1053 2.1052632 -0.78571429 -0.071 0.675
4842.1053 2.1052632 -0.35714286 -0.053 0.693
4842.1053 2.1052632 0.071428571 -0.035 0.717
4842.1053 2.1052632 0.5 -0.021 0.747
5105.2632 2.1052632 -2.5 -0.059 0.63
5105.2632 2.1052632 -2.0714286 -0.048 0.639
5105.2632 2.1052632 -1.6428571 -0.035 0.648
5105.2632 2.1052632 -1.2142857 -0.019 0.659
5105.2632 2.1052632 -0.78571429 -0.001 0.674
7210.5263 0 0.071428571 0.052 0.291
5105.2632 2.1052632 -0.35714286 0.02 0.693
5105.2632 2.1052632 0.071428571 0.043 0.72
5105.2632 2.1052632 0.5 0.063 0.754
5368.4211 2.1052632 -2.5 -0.018 0.604
5368.4211 2.1052632 -2.0714286 -0.007 0.613
5368.4211 2.1052632 -1.6428571 0.008 0.626
5368.4211 2.1052632 -1.2142857 0.027 0.64
5368.4211 2.1052632 -0.78571429 0.048 0.658
5368.4211 2.1052632 -0.35714286 0.073 0.68
5368.4211 2.1052632 0.071428571 0.099 0.708
7210.5263 0 0.5 0.077 0.347
5368.4211 2.1052632 0.5 0.124 0.744
5631.5789 2.1052632 -2.5 0.014 0.574
5631.5789 2.1052632 -2.0714286 0.024 0.583
5631.5789 2.1052632 -1.6428571 0.039 0.595
5631.5789 2.1052632 -1.2142857 0.059 0.611
5631.5789 2.1052632 -0.78571429 0.083 0.632
5631.5789 2.1052632 -0.35714286 0.111 0.656
5631.5789 2.1052632 0.071428571 0.14 0.685
5631.5789 2.1052632 0.5 0.168 0.723
5894.7368 2.1052632 -2.5 0.04 0.541
5894.7368 2.1052632 -2.0714286 0.05 0.549
7473.6842 0 -2.5 -0.144 0.161
5894.7368 2.1052632 -1.6428571 0.064 0.561
5894.7368 2.1052632 -1.2142857 0.083 0.577
5894.7368 2.1052632 -0.78571429 0.108 0.598
5894.7368 2.1052632 -0.35714286 0.138 0.624
5894.7368 2.1052632 0.071428571 0.169 0.654
5894.7368 2.1052632 0.5 0.2 0.691
6157.8947 2.1052632 -2.5 0.062 0.506
6157.8947 2.1052632 -2.0714286 0.071 0.513
6157.8947 2.1052632 -1.6428571 0.084 0.524
7473.6842 0 -2.0714286 -0.152 0.156
6157.8947 2.1052632 -1.2142857 0.102 0.539
6157.8947 2.1052632 -0.78571429 0.127 0.559
6157.8947 2.1052632 -0.35714286 0.156 0.585
6157.8947 2.1052632 0.071428571 0.19 0.616
6157.8947 2.1052632 0.5 0.223 0.652
6421.0526 2.1052632 -2.5 0.079 0.468
6421.0526 2.1052632 -2.0714286 0.088 0.474
6421.0526 2.1052632 -1.6428571 0.1 0.484
6421.0526 2.1052632 -1.2142857 0.116 0.498
6421.0526 2.1052632 -0.78571429 0.14 0.517
7473.6842 0 -1.6428571 0.043 0.254
6421.0526 2.1052632 -0.35714286 0.169 0.541
6421.0526 2.1052632 0.071428571 0.202 0.572
6421.0526 2.1052632 0.5 0.237 0.608
6684.2105 2.1052632 -2.5 0.093 0.426
6684.2105 2.1052632 -2.0714286 0.1 0.432
6684.2105 2.1052632 -1.6428571 0.111 0.441
6684.2105 2.1052632 -1.2142857 0.127 0.453
6684.2105 2.1052632 -0.78571429 0.148 0.47
6684.2105 2.1052632 -0.35714286 0.176 0.493
6684.2105 2.1052632 0.071428571 0.206 0.521
7473.6842 0 -1.2142857 -0.053 0.226
6684.2105 2.1052632 0.5 0.243 0.556
3263.1579 0 -0.35714286 -3.876 -0.396
6947.3684 2.1052632 -2.5 0.103 0.382
6947.3684 2.1052632 -2.0714286 0.11 0.387
6947.3684 2.1052632 -1.6428571 0.119 0.394
6947.3684 2.1052632 -1.2142857 0.131 0.404
6947.3684 2.1052632 -0.78571429 0.15 0.42
6947.3684 2.1052632 -0.35714286 0.174 0.438
6947.3684 2.1052632 0.071428571 0.203 0.464
6947.3684 2.1052632 0.5 0.238 0.497
7210.5263 2.1052632 -2.5 0.099 0.329
7473.6842 0 -0.78571429 0.023 0.254
7210.5263 2.1052632 -2.0714286 0.104 0.332
7210.5263 2.1052632 -1.6428571 0.116 0.341
7210.5263 2.1052632 -1.2142857 0.128 0.349
7210.5263 2.1052632 -0.78571429 0.143 0.362
7210.5263 2.1052632 -0.35714286 0.164 0.379
7210.5263 2.1052632 0.071428571 0.19 0.401
7210.5263 2.1052632 0.5 0.223 0.431
7473.6842 2.1052632 -2.5 0.085 0.27
7473.6842 2.1052632 -2.0714286 0.09 0.274
7473.6842 2.1052632 -1.6428571 0.102 0.282
7473.6842 0 -0.35714286 0.118 0.356
7473.6842 2.1052632 -1.2142857 0.111 0.289
7473.6842 2.1052632 -0.78571429 0.128 0.302
7473.6842 2.1052632 -0.35714286 0.15 0.32
7473.6842 2.1052632 0.071428571 0.178 0.344
7473.6842 2.1052632 0.5 0.212 0.376
7736.8421 2.1052632 -2.5 0.079 0.221
7736.8421 2.1052632 -2.0714286 0.085 0.225
7736.8421 2.1052632 -1.6428571 0.094 0.232
7736.8421 2.1052632 -1.2142857 0.105 0.241
7736.8421 2.1052632 -0.78571429 0.12 0.254
7473.6842 0 0.071428571 0.199 0.442
7736.8421 2.1052632 -0.35714286 0.139 0.269
7736.8421 2.1052632 0.071428571 0.161 0.289
7736.8421 2.1052632 0.5 0.189 0.313
8000 2.1052632 -2.5 0.064 0.159
8000 2.1052632 -2.0714286 0.069 0.164
8000 2.1052632 -1.6428571 0.078 0.171
8000 2.1052632 -1.2142857 0.078 0.181
8000 2.1052632 -0.78571429 0.108 0.195
8000 2.1052632 -0.35714286 0.128 0.213
8000 2.1052632 0.071428571 0.144 0.232
7473.6842 0 0.5 0.29 0.565
8000 2.1052632 0.5 0.16 0.244
3000 2.3684211 -2.5 -1.291 0.518
3000 2.3684211 -2.0714286 -1.446 0.512
3000 2.3684211 -1.6428571 -1.823 0.491
3000 2.3684211 -1.2142857 -2.476 0.386
3000 2.3684211 -0.78571429 -3.185 0.167
3000 2.3684211 -0.35714286 -3.602 -0.113
3000 2.3684211 0.071428571 -3.813 -0.423
3000 2.3684211 0.5 -3.932 -0.704
3263.1579 2.3684211 -2.5 -0.959 0.556
3263.1579 2.3684211 -2.0714286 -1.036 0.552
7736.8421 0 -2.5 0.29 0.431
3263.1579 2.3684211 -1.6428571 -1.293 0.527
3263.1579 2.3684211 -1.2142857 -1.797 0.436
3263.1579 2.3684211 -0.78571429 -2.42 0.269
3263.1579 2.3684211 -0.35714286 -2.98 0.026
3263.1579 2.3684211 0.071428571 -3.415 -0.287
3263.1579 2.3684211 0.5 -3.746 -0.621
3526.3158 2.3684211 -2.5 -0.786 0.554
3526.3158 2.3684211 -2.0714286 -0.833 0.536
3526.3158 2.3684211 -1.6428571 -0.962 0.504
7736.8421 0 -2.0714286 0.295 0.424
3526.3158 2.3684211 -1.2142857 -1.195 0.462
3526.3158 2.3684211 -0.78571429 -1.537 0.398
3526.3158 2.3684211 -0.35714286 -1.96 0.297
3526.3158 2.3684211 0.071428571 -2.388 0.156
3526.3158 2.3684211 0.5 -2.747 -0.011
3789.4737 2.3684211 -2.5 -0.638 0.547
3789.4737 2.3684211 -2.0714286 -0.664 0.519
3789.4737 2.3684211 -1.6428571 -0.699 0.504
3789.4737 2.3684211 -1.2142857 -0.764 0.495
3789.4737 2.3684211 -0.78571429 -0.871 0.488
7736.8421 0 -1.6428571 0.298 0.447
3789.4737 2.3684211 -0.35714286 -1.03 0.485
3789.4737 2.3684211 0.071428571 -1.237 0.481
3789.4737 2.3684211 0.5 -1.485 0.464
4052.6316 2.3684211 -2.5 -0.472 0.57
4052.6316 2.3684211 -2.0714286 -0.485 0.552
4052.6316 2.3684211 -1.6428571 -0.493 0.546
4052.6316 2.3684211 -1.2142857 -0.499 0.55
4052.6316 2.3684211 -0.78571429 -0.511 0.559
4052.6316 2.3684211 -0.35714286 -0.543 0.574
4052.6316 2.3684211 0.071428571 -0.609 0.595
